,url,group,duration,nbytes,throughput,test_type,kerchunk,iteration,file_type
163,s3://mast/test/perf/data/30420.h5,efm,8.582114696502686,4079236,475318.28043061896,load,False,6,h5
164,s3://mast/test/perf/data/30420.h5,rbb,0.08570599555969238,82004208,956808301.0352039,open,True,6,h5
165,s3://mast/test/perf/data/30420.h5,rbb,6.143913984298706,82004208,13347225.923014013,open,False,6,h5
166,s3://mast/test/perf/data/30420.h5,rbb,19.83378505706787,82004208,4134571.780628296,load,True,6,h5
167,s3://mast/test/perf/data/30420.h5,rbb,26.741567134857178,82004208,3066544.5890457523,load,False,6,h5
168,s3://mast/test/perf/data/30420.nc,efm,0.5081427097320557,4079280,8027823.526487293,open,True,7,nc
169,s3://mast/test/perf/data/30420.nc,efm,8.71846079826355,4079236,467884.8817915725,open,False,7,nc
170,s3://mast/test/perf/data/30420.nc,efm,0.42403697967529297,4079280,9620104.367132591,load,True,7,nc
171,s3://mast/test/perf/data/30420.nc,efm,9.060887098312378,4079236,450202.7180936591,load,False,7,nc
172,s3://mast/test/perf/data/30420.nc,rbb,0.442598819732666,82004208,185278867.32624218,open,True,7,nc
173,s3://mast/test/perf/data/30420.nc,rbb,6.000792026519775,82004208,13665564.08513948,open,False,7,nc
174,s3://mast/test/perf/data/30420.nc,rbb,20.416685104370117,82004208,4016529.009523064,load,True,7,nc
175,s3://mast/test/perf/data/30420.nc,rbb,26.806967973709106,82004208,3059063.154043587,load,False,7,nc
176,s3://mast/test/perf/data/30420.zarr,efm,1.4409449100494385,4079236,2830945.1468620286,open,True,7,zarr
177,s3://mast/test/perf/data/30420.zarr,efm,1.1680450439453125,4079236,3492361.892330403,open,False,7,zarr
178,s3://mast/test/perf/data/30420.zarr,efm,2.2086548805236816,4079236,1846932.282617552,load,True,7,zarr
179,s3://mast/test/perf/data/30420.zarr,efm,1.2909331321716309,4079236,3159912.7006197725,load,False,7,zarr
180,s3://mast/test/perf/data/30420.zarr,rbb,0.14219069480895996,82004208,576719933.1164153,open,True,7,zarr
181,s3://mast/test/perf/data/30420.zarr,rbb,0.468641996383667,82004208,174982627.74739662,open,False,7,zarr
182,s3://mast/test/perf/data/30420.zarr,rbb,13.508502006530762,82004208,6070562.669373303,load,True,7,zarr
183,s3://mast/test/perf/data/30420.zarr,rbb,13.440238237380981,82004208,6101395.418120183,load,False,7,zarr
184,s3://mast/test/perf/data/30420.h5,efm,0.15092992782592773,4079280,27027641.626548465,open,True,7,h5
185,s3://mast/test/perf/data/30420.h5,efm,9.172050952911377,4079236,444746.3300130464,open,False,7,h5
186,s3://mast/test/perf/data/30420.h5,efm,0.4285459518432617,4079280,9518885.856823994,load,True,7,h5
187,s3://mast/test/perf/data/30420.h5,efm,8.944176197052002,4079236,456077.33011168934,load,False,7,h5
188,s3://mast/test/perf/data/30420.h5,rbb,0.14067625999450684,82004208,582928548.1658535,open,True,7,h5
189,s3://mast/test/perf/data/30420.h5,rbb,6.098551034927368,82004208,13446506.806346115,open,False,7,h5
190,s3://mast/test/perf/data/30420.h5,rbb,19.56602692604065,82004208,4191152.7726080995,load,True,7,h5
191,s3://mast/test/perf/data/30420.h5,rbb,26.599826097488403,82004208,3082885.1173483036,load,False,7,h5
192,s3://mast/test/perf/data/30420.nc,efm,0.15809893608093262,4079280,25802071.165815882,open,True,8,nc
193,s3://mast/test/perf/data/30420.nc,efm,8.603405714035034,4079236,474142.0009224255,open,False,8,nc
